fecha,modulo,detalle,comentario,solucion,fecha_id,modulo_id,detalle_id,comentario_id,solucion_id
2023-02-01 00:00:00,calculo nómina / cuota imss,no esta apareciendo cuota imss en las razonces sociales,verificar configuracion de salarios minimos,el registro de salarios minimos debe cubrir el periodo completo de nomina para que considere el calculo,1,1,1,1,1
2023-02-01 00:00:00,timbrado finiquitos,marca error al querer timbrar,detalle en codigo por lectura de campo de forma erronea,"se realizo modificacion en codigo para que no marque error, falta actualizacion a sistema",1,2,2,2,2
2023-02-01 00:00:00,salarios minimos,ventana advertencia en carga salario minimo,"todos los campos son obligatorios, se quiso almacenar sin capturar dos valores","se capturan datos completos, si no cambian se captura mismo que en peirodo anterior",1,3,3,3,3
2023-03-01 00:00:00,poliza contable,requiere poliza contable periodo sem 47,"desde sistema no es posible hacer la descarga de periodos anteriores, no se habilita aun","se genero la poliza de forma ""externa"" al sistema y se le envio",2,4,4,4,4
2023-03-01 00:00:00,inicializacion ejercicio,consulta para proceso de cierre/inicio de ejercicio,se indico proceso a seguir para cerrar ejericio 2022 correcto sin afectar por cambios en inicio 2023,vacio,2,5,5,5,92
2023-03-01 00:00:00,incidencias,se requiere ejecutar incidencias correspondientes a semana anterior,se realizo indicacion de proceso a seguir para poder realizar carga de incidencias.,vacio,2,6,6,6,92
2023-03-01 00:00:00,inicializacion ejercicio,"solicitud para ""replicar"" configuracion de año","giselda realizo proceso en razon social dgo solicito realizar ""replica"" de configuracion en slp y qro",vacio,2,5,7,7,92
2023-03-01 00:00:00,vacaciones,consulta de proceso a seguir para nuevo tabulador,se indico proceso que se llevara para aplicar nuevo tabulador,vacio,2,7,8,8,92
2023-03-01 00:00:00,configuración,configuración de tabular vacaciones,se solicito configuracion de nuevo tabular en empresas,se cargo tabulador de vacaciones y se realizo ajuste en configuracion de factor integración para tomar nuevo tab,2,8,9,9,5
2023-03-01 00:00:00,poliza contable,requiere poliza contable periodo sem 47 finiquitos,se habia solicitado poliza sem 47 pero no se especifico que solo se requeria importes finiquitos,"se genero de forma ""manual"" solo para  importes de finiquitos en periodo",2,4,10,10,6
2023-04-01 00:00:00,variabilidad,revisión valores variables despues de nuevo tabular,se solicito revision de calculo variables por cambio tabulador,vacio,3,9,11,11,92
2023-04-01 00:00:00,calculo isr,se indico que no aparecia valor isr despues de carga ajuste,"el proceso de calculo esta de forma correcta, no aparece porque no ""completa"" descuento",se envio informacion desglosada de calculo para validacion,3,10,12,12,7
2023-04-01 00:00:00,portal colaboradores,personal con problemas para ingresar a portal,"acceso en liga externa se tiene que realizar una vez que los usuarios se ""pasaron"" a la base de datos replica",vacio,3,11,13,13,92
2023-04-01 00:00:00,cambio de salario,"detalle al realizar cambio de salario, aparece advertencia",verificar configuracion de salarios minimos,el registro de salarios minimos debe cubrir el periodo completo de nomina para que considere el calculo,3,12,14,1,1
