fecha,modulo,detalle,comentario,solucion,codigo,usuario,soporte,solicitud cliente,fecha_id,modulo_id,detalle_id,comentario_id,solucion_id,codigo_id,usuario_id,soporte_id,solicitud cliente_id
2023-02-01 00:00:00,cálculo nómina / cuota imss,no está apareciendo cuota imss en las razones sociales,verificar configuración de salarios mínimos,el registro de salarios mínimos debe cubrir el período completo de nómina para que considere el cálculo,,,x,,1,1,1,1,1,1,1,2,1
2023-02-01 00:00:00,timbrados finiquitos,marca error al querer timbrar,detalle en código por lectura de campo de forma errónea,"se realizo modificación en código para que no marque error, falta actualización a sistema",,,,,1,2,2,2,2,1,1,1,1
2023-02-01 00:00:00,salarios mínimos,ventana advertencia en carga salario mínimo,"todos los campos son obligatorios, se quiso almacenar sin capturar dos valores","se capturan datos completos, si no cambian se captura mismo que en período anterior",x,,,,1,3,3,3,3,2,1,1,1
2023-03-01 00:00:00,póliza contable,requiere póliza contable período sem 47,"desde sistema no es posible hacer la descarga de períodos anteriores, no se habilita aún","se genero la póliza de forma ""externa"" al sistema y se le envió",,x,,,2,4,4,4,4,1,2,1,1
2023-03-01 00:00:00,inicialización ejercicio,consulta para proceso de cierre/inicio de ejercicio,se indicó proceso a seguir para cerrar ejercicio 2022 correcto sin afectar por cambios en inicio 2023,vacio,,x,,,2,5,5,5,91,1,2,1,1
2023-03-01 00:00:00,incidencias,se requiere ejecutar incidencias correspondientes a semana anterior,se realizo indicación de proceso a seguir para poder realizar carga de incidencias.,vacio,x,,,,2,6,6,6,91,2,1,1,1
2023-03-01 00:00:00,inicialización ejercicio,"solicitud para ""replicar"" configuración de año","giselda realizo proceso en razón social dgo solicitó realizar ""replica"" de configuración en slp y qro",vacio,,x,,,2,5,7,7,91,1,2,1,1
2023-03-01 00:00:00,vacaciones,consulta de proceso a seguir para nuevo tabulador,se indicó proceso que se llevara para aplicar nuevo tabulador,vacio,x,,,,2,7,8,8,91,2,1,1,1
2023-03-01 00:00:00,configuración,configuración de tabular vacaciones,se solicitó configuración de nuevo tabular en empresas,se cargo tabulador de vacaciones y se realizó ajuste en configuración de factor integración para tomar nuevo tab,x,,,,2,8,9,9,5,2,1,1,1
2023-03-01 00:00:00,póliza contable,requiere póliza contable período sem 47 finiquitos,se había solicitado póliza sem 47 pero no se especificó que solo se requería importes finiquitos,"se genero de forma ""manual"" solo para importes de finiquitos en período",x,,,,2,4,10,10,6,2,1,1,1
